"fips","pre_covid_cases","post_covid_cases","pre_week_diff"
"26127",22,100,2
"48357",18,55,-4
"13219",75,95,-3
"45073",400,236,268
"55083",403,515,93
"26129",7,42,-1
"46102",82,472,38
"17141",173,349,31
"13221",34,50,-12
"18115",4,38,0
"21183",34,75,6
"54069",35,142,-3
"12091",341,767,127
"53047",39,35,-1
"12093",218,88,-70
"40107",23,317,-3
"40109",2650,2962,-232
"40111",116,239,-2
"28105",94,134,18
"21185",142,174,-24
"48359",3,2,1
"38065",8,25,0
"27109",327,470,69
"16071",6,20,2
"36065",77,210,21
"55085",197,449,51
"36067",291,657,17
"37133",509,577,213
"36069",26,148,-8
"26131",2,52,0
"06059",2753,3317,-77
"12095",2087,3380,-253
"18117",12,75,-6
"36071",432,645,152
"37135",145,225,25
"48361",164,173,10
"50017",3,6,-1
"51137",34,52,-10
"45075",128,122,28
"29149",47,40,9
"22071",412,386,60
"36073",14,54,8
"50019",0,11,0
"72107",54,46,10
"20139",26,29,4
"29151",45,186,7
"40113",254,111,150
"20141",5,16,5
"12097",673,896,-59
"19143",69,70,-3
"26133",11,76,1
"26135",1,10,1
"36075",94,60,-24
"08089",12,54,0
"35035",33,271,13
"31131",37,80,9
"26137",9,82,-11
"36077",23,48,-7
"20143",10,19,2
"26139",475,1310,-41
"39123",10,93,4
"40115",143,158,-11
"27111",119,310,13
"05103",44,68,-10
"22073",373,368,-29
"08091",1,8,1
"55087",1953,2350,247
"47133",135,210,13
"18119",10,34,0
"21187",13,18,-3
"21189",5,36,5
"16073",11,40,9
"23017",60,9,-20
"29153",35,54,-9
"55089",279,730,-1
"53049",9,12,3
"19145",68,92,48
"51139",26,34,4
"12099",2093,3510,-475
"19147",69,58,9
"48363",95,91,-9
"37137",45,27,23
"28107",113,92,9
"48365",33,44,-9
"08093",12,37,-6
"30067",19,96,3
"56029",49,282,13
"18121",22,73,8
"48367",233,285,-1
"48369",37,47,15
"12101",682,834,-14
"37139",80,87,-34
"34031",392,1201,78
"72109",23,17,-5
"51141",17,32,-5
"13223",164,286,-30
"39125",22,108,2
"20145",104,27,-70
"31133",4,7,0
"40117",22,45,-2
"16075",126,115,-8
"40119",430,188,-14
"13225",42,68,-26
"28109",81,125,7
"48371",25,92,1
"38067",48,73,10
"29155",102,98,-10
"53051",9,20,3
"37141",123,254,-1
"21191",14,24,6
"54071",5,12,-3
"27113",15,69,-5
"46103",543,1165,85
"23019",2,35,2
"72111",20,14,-2
"17143",514,728,-10
"55091",16,76,6
"31135",-1,11,-3
"46105",14,22,-4
"37143",24,36,-6
"01105",7,26,1
"05105",12,21,-4
"17145",32,91,0
"18123",26,171,-4
"21193",22,146,2
"28111",50,65,-18
"29157",91,117,-37
"39127",29,71,-1
"42099",40,70,6
"47135",19,174,-11
"32027",1,1,1
"37145",53,155,-5
"02195",-1,6,1
"51730",52,108,-10
"30069",NA,0,NA
"29159",237,360,-55
"29161",107,175,-43
"31137",14,100,-6
"42101",1785,4326,659
"05107",73,101,17
"08095",0,22,-2
"20147",40,59,-18
"30071",6,47,0
"17147",19,87,3
"39129",80,281,22
"01107",57,125,-3
"13227",38,136,-22
"45077",495,746,215
"47137",39,66,9
"13229",31,108,3
"31139",16,71,0
"38069",6,79,4
"53053",743,1457,59
"55093",239,165,-155
"01109",92,77,-10
"05109",19,17,3
"13231",33,59,1
"17149",36,193,16
"18125",46,73,26
"21195",90,327,54
"28113",51,61,-1
"29163",25,81,-15
"39131",66,96,-2
"42103",21,20,-3
"04019",2741,1527,-1493
"04021",410,716,30
"27115",166,108,-58
"12103",1029,2175,-69
"27117",35,52,11
"23021",1,0,-1
"08097",10,38,-6
"37147",596,543,76
"40121",132,169,10
"51143",101,156,5
"49031",3,4,1
"06061",231,473,-69
"22075",73,74,55
"29165",151,156,3
"31141",155,346,29
"56031",17,66,3
"54073",3,11,1
"06063",4,17,-4
"19149",232,278,-38
"25023",346,946,74
"19151",22,51,2
"54075",1,8,-1
"05111",88,266,-2
"22077",32,44,-16
"05113",19,33,11
"12105",1358,1516,-198
"13233",126,208,-4
"19153",1270,2284,-26
"27119",81,429,-1
"29167",241,193,39
"31143",20,67,2
"37149",69,35,55
"41053",48,57,0
"47139",40,87,20
"48373",141,76,-5
"55095",45,240,19
"72113",235,191,15
"30073",36,59,26
"28115",105,102,-1
"40123",133,238,11
"05115",195,289,29
"17151",6,8,2
"27121",22,38,-2
"51735",-1,11,1
"39133",154,374,0
"55097",515,811,-27
"18127",281,1000,5
"51740",167,145,-47
"18129",87,182,37
"20149",84,58,2
"40125",304,419,-8
"19155",344,590,26
"42105",4,20,2
"46107",15,34,-3
"48375",1549,1107,1015
"30075",15,19,9
"21197",11,18,5
"30077",2,135,2
"16077",72,39,8
"19157",100,83,10
"51145",22,48,0
"05117",21,48,3
"30079",3,5,3
"20151",16,91,-4
"39135",42,188,14
"28117",111,97,-11
"48377",3,50,-1
"26141",3,45,-1
"54077",14,34,0
"55099",80,122,46
"51147",40,69,-10
"51149",131,116,-29
"24033",1452,1719,-36
"02198",1,1,1
"51153",757,996,-53
"44007",986,2881,-6
"08099",2,93,-2
"08101",128,713,26
"05119",1180,1289,76
"13235",12,37,-8
"17153",31,28,13
"18131",2,57,-4
"21199",112,119,-14
"29169",183,188,-47
"51155",46,40,-14
"40127",26,45,6
"12107",151,145,-45
"13237",33,58,1
"17155",30,20,-14
"18133",84,139,24
"29171",-1,13,-7
"36079",52,117,8
"39137",122,453,-6
"47141",520,690,-94
"54079",142,159,-20
"35037",5,20,-5
"72115",41,46,3
"24035",48,79,-6
"13239",2,14,0
"28119",31,14,3
"13241",30,26,4
"55101",721,2060,155
"51750",52,148,-10
"48379",8,88,0
"54081",79,196,3
"29173",14,36,-2
"27123",1043,2044,105
"38071",76,170,38
"48381",492,1192,64
"01111",91,79,-1
"05121",81,102,13
"13243",2,4,-2
"17157",71,251,-7
"18135",32,177,12
"29175",87,194,13
"37151",266,473,110
"54083",28,51,16
"28121",251,398,43
"38073",23,92,-7
"22079",221,235,17
"51157",1,5,-1
"30081",35,215,15
"20153",59,41,-5
"29177",21,73,-1
"48383",1,6,-1
"48385",13,17,-13
"27125",8,32,2
"22081",12,62,4
"48387",6,23,2
"31145",17,133,7
"27127",92,79,-34
"48389",14,40,6
"48391",7,-1,3
"20155",230,740,-50
"36083",32,91,2
"27129",54,70,0
"38075",46,22,0
"20157",8,17,-6
"29179",9,35,-13
"47143",112,148,32
"20159",19,48,5
"27131",77,220,3
"49033",6,2,-2
"31147",8,43,0
"17159",95,41,3
"22083",42,60,24
"30083",16,154,4
"38077",61,187,-9
"39139",188,362,80
"45079",1508,979,8
"55103",72,127,34
"13245",480,411,-98
"37153",181,177,13
"51159",12,1,14
"51760",290,367,-44
"20161",446,142,-176
"72117",48,14,12
"19159",13,24,-3
"35039",22,88,6
"08103",2,5,0
"08105",1,15,-1
"72119",131,146,17
"18137",40,133,16
"29181",-5,81,-37
"54085",3,21,1
"06065",3204,4766,216
"47145",136,317,-30
"54087",11,29,-3
"51161",185,351,23
"51770",374,581,-42
"46109",86,96,14
"48393",2,0,2
"21201",0,23,0
"47147",135,276,-1
"48395",31,34,-3
"37155",511,563,191
"27133",51,85,-7
"31149",9,9,-1
"55105",551,1611,55
"17161",408,824,16
"51163",26,10,0
"21203",22,105,-2
"13247",88,159,-14
"33015",96,346,-8
"37157",204,385,38
"51165",148,105,-8
"36087",792,1047,204
"48397",155,201,5
"40129",39,9,-5
"40131",317,284,5
"38079",61,167,13
"20163",52,33,24
"30085",307,230,55
"35041",39,105,-19
"26143",13,85,5
"27135",21,193,-5
"30087",141,92,-77
"39141",76,347,22
"08107",20,41,2
"21205",52,63,28
"37159",320,349,26
"48399",36,16,-6
"18139",12,115,0
"20165",25,14,1
"48401",126,83,18
"55107",26,96,0
"01113",105,110,11
"20167",32,37,4
"21207",27,90,-5
"51167",48,112,18
"37161",190,245,18
"47149",805,1831,15
"50021",2,4,4
"72121",23,21,-1
"22085",48,63,4
"48403",4,15,4
"19161",106,62,-22
"06067",1994,1993,-430
"23023",6,10,0
"26145",182,796,36
"08109",0,24,0
"69110",15,12,15
"34033",43,50,-5
"51775",21,171,3
"72123",81,53,27
"05125",247,421,-1
"17165",142,169,-16
"20169",173,218,9
"29195",109,115,-23
"31151",73,133,1
"49035",4977,8685,431
"45081",27,16,-13
"37163",534,319,436
"48405",11,22,5
"06069",98,65,-22
"06071",3951,4904,213
"06073",3735,4588,-225
"06075",785,512,-37
"72125",51,40,1
"48407",6,11,-2
"06077",788,919,-86
"08111",0,1,0
"35045",116,268,42
"72127",1732,1437,522
"49037",19,94,1
"53055",0,3,0
"72129",159,100,15
"06079",313,313,-13
"06081",726,654,-74
"08113",0,5,-4
"35047",10,54,-14
"48409",73,42,-59
"48411",23,9,3
"72131",83,199,23
"46111",14,42,2
"30089",6,15,0
"35043",75,412,35
"39143",44,113,22
"17167",326,1157,40
"26151",12,60,-4
"49039",31,124,-7
"06083",412,384,36
"06085",1619,1893,-157
"04023",55,101,-3
"06087",315,202,-57
"35049",105,524,29
"72133",35,46,-3
"12113",178,301,58
"12115",480,798,2
"36091",96,193,8
"38081",40,29,-4
"31153",528,1119,50
"55111",216,506,12
"31155",123,107,-17
"55113",39,83,19
"36093",48,106,-4
"48413",2,1,-2
"13249",2,2,0
"36095",2,13,2
"26153",9,40,1
"17169",12,23,-4
"29197",4,9,4
"36097",10,54,-4
"42107",142,599,82
"39145",93,270,21
"29199",10,24,-2
"37165",354,159,82
"05127",12,82,6
"17171",18,28,-8
"18143",52,94,22
"19163",527,1107,-29
"20171",16,24,0
"21209",97,212,35
"27139",358,609,-6
"28123",31,74,-13
"29201",124,298,-18
"47151",36,116,-2
"51169",15,175,5
"31157",31,449,3
"13251",60,23,-26
"48415",45,174,-45
"05129",11,32,3
"05131",535,515,3
"08115",3,27,-1
"20173",995,2561,55
"12117",462,752,-90
"13253",31,24,-3
"40133",87,166,11
"36099",3,23,1
"39147",81,129,-15
"47153",36,64,10
"40135",196,165,4
"05133",21,123,1
"47155",218,480,30
"49041",15,122,5
"20175",183,223,-29
"31159",43,319,3
"48417",7,7,5
"29203",46,74,8
"28125",9,15,-5
"05135",66,84,-4
"06089",291,380,93
"55115",594,737,150
"20177",281,534,-15
"55117",536,1674,114
"01117",718,754,36
"17173",76,183,20
"18145",56,229,4
"19165",40,83,16
"21211",82,286,8
"29205",14,21,6
"39149",154,213,12
"47157",2036,3658,-336
"48419",25,17,-7
"51171",15,84,-1
"27141",147,432,-5
"20179",16,90,12
"30091",9,40,-3
"31161",3,50,-1
"38083",6,28,6
"56033",72,325,-4
"20181",20,99,2
"31163",7,24,1
"41055",0,4,0
"48421",8,6,2
"26155",41,181,11
"16079",3,59,-1
"27143",39,41,-11
"06091",0,0,0
"35051",8,46,-2
"30093",87,192,-29
"21213",35,58,-5
"28127",60,75,20
"19167",572,346,-20
"31165",0,1,0
"38085",17,49,5
"06093",7,57,-1
"02220",15,8,7
"53057",45,73,1
"02230",NA,7,NA
"53059",5,5,-3
"38087",0,3,0
"20183",2,9,2
"28129",36,32,8
"47159",98,132,-2
"48423",566,920,2
"51173",111,55,21
"53061",618,1094,-160
"42109",106,63,12
"35053",25,103,-5
"06095",438,625,-12
"23025",1,58,1
"24039",50,67,2
"34035",219,436,-9
"42111",25,141,-7
"48425",12,6,0
"06097",751,929,-45
"51175",269,53,-209
"02240",7,34,1
"13255",76,197,-4
"45083",823,1162,5
"18147",75,98,19
"21215",26,72,10
"46115",57,79,-7
"53063",1085,1295,1
"51177",112,173,-18
"22087",82,49,4
"22089",74,68,8
"29183",1100,2131,68
"01115",205,433,27
"17163",715,937,111
"26147",66,430,36
"29185",35,28,-11
"78010",51,15,-13
"55109",222,611,-18
"05123",134,136,-32
"29187",541,531,-57
"22091",23,15,-9
"22093",27,18,-17
"78020",15,2,-9
"22095",27,43,7
"12109",439,664,9
"18141",936,1818,140
"26149",94,298,50
"22097",79,171,5
"36089",17,56,-3
"27137",545,832,47
"29189",2332,3885,220
"29510",462,816,-34
"12111",430,578,2
"22099",53,85,-3
"22101",77,36,-11
"24037",93,116,9
"22103",274,285,-4
"78030",20,16,-8
"20185",8,24,2
"51179",148,161,-34
"06099",460,816,-286
"46117",15,34,1
"37167",269,119,79
"20187",18,25,2
"31167",3,28,1
"17175",10,18,-4
"38089",535,279,11
"39151",311,812,21
"18149",45,140,-3
"48427",143,98,-35
"51790",48,57,-4
"29186",41,178,-13
"27145",529,1384,-21
"27147",62,125,-2
"38091",3,30,-1
"13257",141,61,-35
"40137",105,198,19
"48429",11,16,-1
"17177",109,436,19
"48431",1,9,1
"18151",57,160,-7
"36101",119,224,55
"20189",56,44,-8
"27149",20,47,6
"53065",45,43,-5
"13259",84,51,6
"47161",93,57,-11
"30095",28,96,14
"29207",124,201,-16
"37169",64,103,24
"05137",72,16,14
"28131",35,63,-5
"29209",116,121,10
"48433",4,4,-4
"32029",1,4,1
"19169",306,353,-40
"33017",92,100,2
"38093",60,291,-4
"56035",51,38,7
"25025",1108,2500,68
"36103",674,1485,-56
"51800",124,95,10
"18153",14,98,2
"29211",24,89,22
"33019",9,19,3
"36105",43,132,13
"42113",3,5,1
"47163",285,1157,59
"46119",5,16,3
"54089",24,59,-6
"08117",74,211,0
"39153",480,1167,-28
"49043",97,254,25
"20191",42,95,2
"47165",354,997,-10
"01119",20,24,-16
"12119",184,197,50
"13261",21,16,-7
"45085",192,220,-16
"28133",122,108,-18
"37171",96,353,36
"51181",16,7,-2
"42115",7,50,1
"10005",213,646,23
"34037",81,143,17
"51183",141,5,53
"06101",105,116,-31
"48435",3,23,3
"12121",186,115,-22
"37173",12,88,10
"30097",10,34,4
"56037",22,143,4
"27151",49,53,-5
"48437",7,20,-1
"18155",2,29,-4
"13263",9,9,-1
"24041",49,53,1
"13265",3,5,-1
"01121",199,282,-31
"28135",58,47,-20
"01123",49,136,21
"19171",81,137,35
"29213",242,308,78
"22105",191,188,5
"35055",18,90,8
"48439",4834,8757,166
"28137",76,129,38
"13267",85,70,-13
"12123",63,73,-19
"13269",31,13,-19
"19173",27,47,5
"21217",40,156,14
"48441",289,909,-37
"54091",14,12,4
"55119",63,210,27
"17179",346,570,-32
"51185",89,147,-3
"06103",101,199,11
"13271",18,117,-2
"08119",8,53,-2
"22107",4,1,2
"22109",122,101,-28
"13273",4,9,0
"48443",0,0,0
"48445",19,191,-9
"16081",45,45,23
"30099",6,26,4
"56039",96,104,24
"29215",115,110,-69
"40139",188,122,28
"31169",3,26,1
"13275",49,67,9
"20193",66,107,2
"31171",0,6,0
"48447",2,4,-2
"31173",25,49,13
"53067",145,309,55
"13277",148,86,-12
"41057",7,6,-3
"40141",26,18,14
"69120",1,0,1
"36107",28,259,20
"42117",25,97,1
"28139",85,118,17
"18157",570,988,110
"18159",18,40,8
"47167",183,373,5
"28141",70,54,16
"48449",8,87,8
"72135",241,244,27
"72137",389,267,43
"21219",13,43,5
"27153",43,276,19
"46121",31,194,1
"09013",80,215,-10
"48451",241,693,9
"36109",35,116,-3
"49045",113,356,-3
"30101",47,23,33
"13279",86,87,8
"35057",12,13,8
"38095",11,43,1
"13281",69,46,-25
"38097",36,133,-2
"37175",34,47,-6
"27155",7,14,7
"48453",1411,1227,127
"30103",0,14,0
"20195",16,30,8
"55121",182,263,2
"13283",17,34,5
"21221",35,36,-11
"21223",13,14,5
"06105",1,8,1
"48455",8,8,-2
"46123",116,53,-16
"13285",102,172,-10
"47169",31,77,17
"72139",268,288,66
"39155",102,346,38
"54093",19,13,17
"06107",781,732,95
"40143",1855,2210,67
"28143",30,21,6
"06109",12,42,-10
"13287",17,8,7
"46125",58,163,-8
"01125",2045,894,1177
"39157",47,379,13
"26157",38,136,-4
"13289",18,12,4
"16083",446,1059,100
"48457",21,19,7
"54095",1,19,1
"37177",5,13,1
"56041",34,87,-4
"49047",4,118,2
"36111",51,143,21
"41059",169,208,53
"47171",30,156,-8
"05139",84,93,22
"12125",145,72,-13
"13291",158,57,-6
"17181",48,97,-14
"18161",6,36,-2
"19175",37,70,3
"21225",131,62,-43
"22111",46,69,-26
"28145",50,145,-2
"34039",373,1909,49
"35059",0,3,0
"37179",360,461,36
"39159",108,152,-12
"41061",11,32,11
"42119",34,80,4
"45087",59,93,-11
"46127",79,143,3
"47173",89,84,-15
NA,-7,14,5
NA,NA,NA,NA
NA,453,133,121
NA,19,16,13
NA,13,0,5
NA,164,-162,50
NA,-220,-74,106
NA,475,1090,31
NA,384,2584,186
NA,-17,-6,19
NA,0,0,NA
NA,388,1370,16
NA,NA,2,NA
NA,0,0,0
NA,354,941,146
NA,-122,1125,168
NA,5,-14,-131
NA,64,NA,-72
NA,NA,14,NA
NA,9,142,-43
NA,NA,NA,NA
NA,0,0,0
NA,NA,NA,NA
NA,-27,-12,-23
NA,173,438,47
NA,71,1472,-257
NA,NA,NA,NA
NA,3,48,1
NA,0,0,0
NA,0,0,0
NA,0,NA,0
"48459",27,57,-7
"54097",27,58,21
"13293",72,44,-2
"48461",3,-13,1
"49049",5523,5005,225
"72141",35,75,13
"48463",47,23,5
"48465",98,239,12
"02261",3,22,1
"35061",55,370,-17
"16085",11,18,7
"30105",40,133,22
"31175",17,32,9
"05141",13,15,-5
"19177",14,44,6
"26159",59,268,5
"47175",31,27,-15
"39161",20,140,8
"48467",150,137,-90
"37181",66,89,-4
"18163",772,1260,52
"72143",215,103,-21
"72145",207,141,1
"42121",9,125,1
"06111",943,736,-207
"17183",327,449,37
"22113",65,51,-39
"18165",13,104,1
"22115",50,20,4
"29217",58,74,-6
"55123",99,110,23
"48469",98,109,-14
"72147",6,3,8
"18167",226,626,22
"55125",86,215,38
"72149",21,76,-5
"39163",3,41,3
"51810",422,584,74
"12127",638,1057,-50
"17185",27,56,3
"18169",23,178,3
"27157",51,125,5
"20197",6,15,4
"27159",14,104,-2
"40145",155,241,1
"53069",0,0,0
"37183",1276,1907,184
"12129",97,89,-25
"23027",1,59,1
"01127",195,287,37
"13295",205,202,-59
"48471",49,85,41
"53071",85,236,7
"20199",3,40,1
"48473",57,62,-5
"41063",4,13,6
"38099",52,256,36
"28147",19,21,-1
"12131",124,309,0
"13297",141,415,15
"46129",61,43,1
"55127",361,550,-91
"19179",130,153,-30
"38101",356,1361,-32
"48475",15,18,13
"13299",66,161,2
"13301",24,8,0
"17187",46,129,-6
"18171",3,43,1
"19181",58,225,-4
"21227",417,538,-73
"28149",56,60,12
"29219",84,179,4
"34041",23,105,-5
"36113",40,24,10
"37185",41,96,5
"39165",349,981,29
"42123",2,12,2
"47177",101,237,31
"51187",31,101,19
"18173",395,350,15
"49051",112,220,26
"41065",66,21,-20
"27161",322,57,-10
"56043",5,25,1
"55129",36,87,8
"01129",18,144,0
"05143",1133,969,-199
"08121",9,26,1
"12133",33,93,7
"13303",35,62,3
"16087",51,62,-3
"17189",52,68,-10
"18175",21,83,-3
"19183",79,117,7
"20201",6,14,4
"21229",6,87,0
"22117",65,45,5
"23029",1,41,-1
"24043",281,252,-9
"27163",519,1548,77
"28151",131,174,31
"29221",129,129,5
"31177",66,133,-14
"36115",16,15,10
"37187",15,22,7
"39167",21,115,-5
"40147",71,175,5
"41067",435,784,57
"42125",137,504,-7
"44009",124,216,24
"47179",340,1003,-18
"48477",25,37,-9
"49053",324,1040,54
"50023",2,39,0
"51191",101,219,-3
"55131",658,1260,-10
"40149",45,45,5
"32031",1322,2395,156
"26161",556,1168,206
"37189",347,124,237
"27165",53,28,-11
"55133",1485,3282,219
"55135",311,778,67
"55137",141,323,51
"13305",70,98,10
"17191",75,110,13
"18177",71,570,7
"19185",13,45,-3
"21231",40,90,4
"26163",1666,3780,82
"28153",51,63,3
"29223",66,29,-24
"31179",87,90,-1
"36117",19,157,3
"37191",365,618,55
"39169",62,570,12
"42127",34,14,-2
"47181",34,75,-2
"49055",0,10,0
"54099",81,128,-3
"51820",27,48,11
"47183",187,215,-9
"48479",1092,744,-236
"49057",543,1488,21
"13307",0,3,0
"19187",153,356,75
"21233",29,63,-1
"22119",126,78,4
"28155",13,22,-1
"29225",256,227,-50
"31181",4,42,-2
"54101",0,18,0
"08123",383,1087,-9
"18179",36,124,10
"38103",5,99,5
"22121",37,22,-13
"22123",15,16,-3
"22125",47,16,-19
"36119",605,1393,67
"42129",274,1092,10
"51193",31,19,-11
"56045",16,78,12
"54103",11,124,5
"26165",11,43,5
"48481",94,30,-50
"53073",136,103,-30
"30107",14,11,4
"13309",19,9,1
"31183",0,0,0
"41069",NA,0,NA
"48483",5,30,-1
"05145",235,303,25
"13311",160,39,14
"17193",26,61,4
"18181",22,125,-4
"47185",138,234,-38
"32033",17,28,-1
"17195",143,630,29
"13313",281,543,-13
"18183",54,128,26
"21235",156,187,44
"53075",255,210,19
"30109",1,9,-1
"20203",0,33,0
"48485",302,1140,54
"24045",176,252,4
"48487",78,109,66
"01131",3,18,1
"13315",10,9,-10
"13317",14,37,0
"37193",128,270,38
"27167",16,38,10
"13319",26,14,-10
"28157",9,14,3
"17197",1236,3625,100
"48489",10,15,-14
"38105",344,355,18
"39171",37,132,-3
"45089",50,77,-22
"51830",14,15,-2
"17199",199,361,-49
"47187",483,1202,85
"48491",366,449,-72
"20205",6,20,4
"37195",282,456,12
"47189",359,766,27
"48493",331,35,-303
"51840",37,78,-1
"09015",113,253,-1
"50025",0,20,0
"50027",4,19,2
"48495",9,21,1
"22127",37,29,-1
"17201",1333,2504,205
"19189",85,122,-3
"55139",2013,2286,321
"19191",75,103,-13
"27169",209,226,-73
"01133",71,83,-5
"28159",28,60,-6
"54105",3,29,-3
"48497",66,121,-46
"51195",42,161,22
"21237",11,11,9
"39173",384,387,60
"48499",54,68,-28
"54107",33,183,9
"55141",259,623,25
"19193",1008,858,8
"17203",64,199,-2
"21239",40,60,8
"05147",17,46,-3
"40151",80,47,-48
"20207",8,11,-2
"40153",933,96,-733
"24047",97,63,-21
"25027",544,1408,80
"13321",20,36,4
"19195",11,30,1
"29227",2,10,-2
"02275",1,0,-1
"19197",56,101,10
"27171",250,655,70
"29229",184,65,-22
"39175",16,49,4
"20209",511,752,3
"36121",7,36,3
"42131",6,48,6
"54109",36,160,-4
"51197",35,40,1
"72151",85,49,27
"37197",55,173,11
"53077",308,322,4
"02998",4,6,-2
"28161",34,91,8
"41071",56,99,2
"37199",100,79,96
"46135",120,318,6
"36123",2,47,2
"72153",77,114,1
"04025",130,253,14
"28163",42,94,0
"05149",46,44,-8
"27173",65,49,-3
"30111",714,1896,94
"48501",25,36,17
"06113",118,232,-8
"23031",182,121,-14
"31185",42,170,4
"42133",608,922,62
"45091",511,702,23
"51199",40,38,-8
"48503",74,170,2
"06115",69,100,13
"02290",5,21,-1
"04027",290,674,-48
"08125",49,47,-1
"48505",12,15,-12
"48507",79,70,-37
"46137",4,22,2
